KOR,MATH,MEAN
95,90,92.5
62,90,76.0
81,80,80.5
79,64,71.5
49,98,73.5
88,52,70.0
75,89,82.0
93,76,84.5
68,94,81.0
65,88,76.5
61,85,73.0
74,72,73.0
80,64,72.0
94,87,90.5
88,52,70.0
91,54,72.5
89,86,87.5
74,88,81.0
65,99,82.0
83,69,76.0
77,71,74.0
91,55,73.0
87,86,86.5
98,72,85.0
89,60,74.5
85,87,86.0
51,91,71.0
65,98,81.5
95,55,75.0
95,55,75.0
78,97,87.5
76,67,71.5
50,96,73.0
64,93,78.5
96,94,95.0
71,69,70.0
61,88,74.5
100,40,70.0
68,99,83.5
98,60,79.0
85,89,87.0
82,89,85.5
75,93,84.0
69,95,82.0
60,80,70.0
63,91,77.0
85,100,92.5
58,100,79.0
75,67,71.0
87,73,80.0
93,60,76.5
61,89,75.0
89,53,71.0
88,94,91.0
48,95,71.5
93,85,89.0
79,67,73.0
85,71,78.0
85,61,73.0
95,94,94.5
48,96,72.0
57,99,78.0
79,94,86.5
84,58,71.0
61,97,79.0
68,74,71.0
89,100,94.5
94,51,72.5
52,94,73.0
96,49,72.5
69,87,78.0
84,69,76.5
98,52,75.0
69,80,74.5
80,87,83.5
75,65,70.0
88,60,74.0
54,97,75.5
93,70,81.5
57,97,77.0
72,87,79.5
89,53,71.0
94,55,74.5
100,89,94.5
55,93,74.0
80,77,78.5
56,98,77.0
79,67,73.0
93,49,71.0
86,69,77.5
98,86,92.0
80,61,70.5
83,60,71.5
95,68,81.5
95,56,75.5
96,44,70.0
61,94,77.5
67,95,81.0
98,79,88.5
68,81,74.5
98,94,96.0
71,80,75.5
90,62,76.0
59,85,72.0
71,84,77.5
80,66,73.0
67,73,70.0
65,82,73.5
78,69,73.5
100,58,79.0
76,85,80.5
92,77,84.5
76,79,77.5
88,61,74.5
76,83,79.5
90,61,75.5
98,91,94.5
61,83,72.0
92,97,94.5
50,92,71.0
48,92,70.0
64,82,73.0
59,84,71.5
87,66,76.5
51,89,70.0
50,96,73.0
58,100,79.0
93,66,79.5
93,66,79.5
93,83,88.0
83,98,90.5
99,51,75.0
79,72,75.5
92,82,87.0
85,57,71.0
98,77,87.5
95,75,85.0
96,70,83.0
85,84,84.5
89,57,73.0
94,72,83.0
99,89,94.0
100,81,90.5
86,64,75.0
80,92,86.0
82,79,80.5
90,91,90.5
72,68,70.0
50,91,70.5
82,60,71.0
81,82,81.5
96,44,70.0
55,97,76.0
94,86,90.0
99,74,86.5
93,48,70.5
48,95,71.5
87,90,88.5
74,99,86.5
63,86,74.5
95,47,71.0
87,55,71.0
82,100,91.0
90,53,71.5
79,94,86.5
100,62,81.0
84,56,70.0
75,96,85.5
100,82,91.0
90,84,87.0
83,98,90.5
94,61,77.5
44,99,71.5
78,63,70.5
93,92,92.5
94,67,80.5
72,87,79.5
80,89,84.5
92,79,85.5
94,79,86.5
70,75,72.5
71,91,81.0
95,77,86.0
97,62,79.5
69,74,71.5
86,61,73.5
100,66,83.0
83,84,83.5
76,69,72.5
94,58,76.0
69,76,72.5
79,96,87.5
61,89,75.0
67,85,76.0
91,86,88.5
96,72,84.0
96,58,77.0
62,78,70.0
100,83,91.5
97,76,86.5
74,100,87.0
97,55,76.0
90,78,84.0
79,79,79.0
75,74,74.5
97,50,73.5
83,86,84.5
95,74,84.5
98,56,77.0
96,95,95.5
83,76,79.5
72,86,79.0
73,96,84.5
58,93,75.5
82,98,90.0
98,51,74.5
82,73,77.5
75,93,84.0
75,96,85.5
86,72,79.0
94,51,72.5
66,89,77.5
92,77,84.5
81,91,86.0
99,70,84.5
97,93,95.0
87,70,78.5
72,81,76.5
69,75,72.0
81,89,85.0
64,94,79.0
73,80,76.5
76,82,79.0
84,68,76.0
88,61,74.5
93,91,92.0
94,93,93.5
61,88,74.5
83,82,82.5
89,60,74.5
67,93,80.0
72,77,74.5
50,100,75.0
79,77,78.0
94,69,81.5
100,59,79.5
90,65,77.5
98,77,87.5
82,80,81.0
75,75,75.0
91,73,82.0
92,56,74.0
73,67,70.0
58,89,73.5
100,88,94.0
85,65,75.0
78,84,81.0
60,89,74.5
70,83,76.5
98,91,94.5
98,61,79.5
81,79,80.0
71,91,81.0
86,85,85.5
99,87,93.0
70,80,75.0
52,100,76.0
99,92,95.5
68,82,75.0
56,93,74.5
99,78,88.5
93,97,95.0
86,100,93.0
99,91,95.0
80,69,74.5
99,78,88.5
56,89,72.5
99,65,82.0
41,99,70.0
77,76,76.5
67,97,82.0
50,94,72.0
77,87,82.0
91,61,76.0
58,83,70.5
82,96,89.0
52,89,70.5
55,91,73.0
76,72,74.0
72,80,76.0
93,54,73.5
61,79,70.0
89,98,93.5
96,50,73.0
65,84,74.5
92,81,86.5
81,75,78.0
86,67,76.5
84,80,82.0
99,91,95.0
69,74,71.5
99,79,89.0
55,96,75.5
99,54,76.5
98,75,86.5
55,99,77.0
95,62,78.5
89,79,84.0
98,62,80.0
100,76,88.0
61,96,78.5
86,58,72.0
97,50,73.5
73,88,80.5
97,75,86.0
87,88,87.5
82,64,73.0
81,63,72.0
96,56,76.0
96,56,76.0
78,95,86.5
96,99,97.5
59,87,73.0
90,71,80.5
58,88,73.0
63,94,78.5
54,94,74.0
99,49,74.0
66,95,80.5
87,65,76.0
61,99,80.0
47,93,70.0
99,47,73.0
72,70,71.0
63,77,70.0
51,98,74.5
89,91,90.0
87,63,75.0
73,70,71.5
80,74,77.0
97,84,90.5
98,58,78.0
95,47,71.0
84,77,80.5
96,83,89.5
98,47,72.5
83,81,82.0
93,95,94.0
99,47,73.0
79,80,79.5
95,68,81.5
52,89,70.5
100,83,91.5
82,81,81.5
81,70,75.5
95,76,85.5
63,92,77.5
64,90,77.0
95,87,91.0
97,69,83.0
53,100,76.5
84,71,77.5
58,92,75.0
93,49,71.0
87,77,82.0
76,77,76.5
98,83,90.5
65,84,74.5
98,81,89.5
68,73,70.5
87,86,86.5
89,58,73.5
78,87,82.5
93,81,87.0
95,60,77.5
83,92,87.5
82,61,71.5
100,52,76.0
92,68,80.0
53,95,74.0
99,90,94.5
84,80,82.0
65,94,79.5
89,97,93.0
95,81,88.0
93,69,81.0
83,80,81.5
75,97,86.0
88,63,75.5
78,69,73.5
88,81,84.5
53,98,75.5
65,79,72.0
93,58,75.5
100,100,100.0
75,76,75.5
85,75,80.0
53,94,73.5
87,68,77.5
81,96,88.5
81,99,90.0
78,83,80.5
60,99,79.5
87,75,81.0
96,44,70.0
93,78,85.5
96,78,87.0
71,96,83.5
77,97,87.0
54,94,74.0
90,78,84.0
87,85,86.0
50,98,74.0
90,52,71.0
70,100,85.0
88,90,89.0
57,84,70.5
91,56,73.5
75,67,71.0
90,83,86.5
86,68,77.0
86,69,77.5
90,72,81.0
85,92,88.5
98,45,71.5
98,100,99.0
48,99,73.5
97,62,79.5
100,57,78.5
76,96,86.0
69,94,81.5
92,64,78.0
96,89,92.5
82,87,84.5
89,100,94.5
69,74,71.5
99,91,95.0
79,99,89.0
93,92,92.5
60,91,75.5
82,97,89.5
75,90,82.5
88,95,91.5
97,70,83.5
54,98,76.0
67,94,80.5
77,83,80.0
90,85,87.5
91,99,95.0
62,100,81.0
98,64,81.0
79,80,79.5
99,48,73.5
51,96,73.5
85,62,73.5
86,62,74.0
88,82,85.0
98,75,86.5
48,98,73.0
84,74,79.0
97,93,95.0
64,81,72.5
97,57,77.0
82,82,82.0
88,62,75.0
99,41,70.0
92,89,90.5
81,79,80.0
83,96,89.5
82,93,87.5
98,94,96.0
92,100,96.0
77,68,72.5
100,64,82.0
90,86,88.0
60,87,73.5
91,56,73.5
92,99,95.5
67,94,80.5
76,75,75.5
88,83,85.5
58,90,74.0
54,89,71.5
87,75,81.0
98,83,90.5
79,76,77.5
79,90,84.5
99,53,76.0
87,64,75.5
80,76,78.0
70,100,85.0
89,71,80.0
93,68,80.5
60,84,72.0
72,80,76.0
87,57,72.0
98,66,82.0
94,50,72.0
69,94,81.5
65,89,77.0
82,62,72.0
76,89,82.5
85,85,85.0
80,86,83.0
92,59,75.5
67,83,75.0
92,64,78.0
95,91,93.0
72,75,73.5
79,70,74.5
49,97,73.0
70,76,73.0
77,82,79.5
83,97,90.0
79,97,88.0
74,96,85.0
86,72,79.0
83,100,91.5
96,94,95.0
61,80,70.5
46,99,72.5
86,95,90.5
93,94,93.5
94,95,94.5
78,65,71.5
68,99,83.5
94,61,77.5
88,62,75.0
69,76,72.5
50,99,74.5
97,81,89.0
92,57,74.5
80,74,77.0
98,89,93.5
74,96,85.0
56,93,74.5
49,96,72.5
91,53,72.0
67,73,70.0
47,98,72.5
99,94,96.5
82,100,91.0
